symbol,company_name,yahoo_ticker,industry,sector,trailing_pe,forward_pe,peg_ratio,price_to_book,debt_to_equity,return_on_equity,return_on_assets,profit_margins,market_cap,promoter_holding_proxy_pct,industry_median_pe,company_news_sentiment,ceo_commentary_sentiment,pe_assessment,score,reason_summary,return_potential_flag
AVTNPL,AVT Natural Products Limited,AVTNPL.NS,Specialty Chemicals,Basic Materials,17.542553,37.05618,,1.9259518,19.139,,,0.088649996,10129623040.0,77.233005,24.245389000000003,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
CNL,Creative Newtech Limited,CNL.NS,Electronics & Computer Distribution,Technology,16.890133,,,2.997962,36.852,,,0.025050001,9742068736.0,70.334,21.140234,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
GULPOLY,Gulshan Polyols Limited,GULPOLY.NS,Chemicals,Basic Materials,12.502857,,,1.4890287,70.759,,,0.03361,9559618560.0,68.91100399999999,23.193705,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY.NS,Rental & Leasing Services,Industrials,15.82883,13.993806,,4.044556,3.246,,,0.07694,9487800320.0,67.793,15.82883,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
AGARIND,Agarwal Industrial Corporation Limited,AGARIND.NS,Specialty Chemicals,Basic Materials,15.599692,55.13587,,1.3861847,63.478,,,0.02819,9104805888.0,67.60000000000001,24.245389000000003,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
AEROENTER,Aeroflex Enterprises Limited,AEROENTER.NS,Steel,Basic Materials,11.278337,,,1.2129675,5.391,,,0.0758,8914877440.0,72.42600300000001,18.283176,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
BCLIND,Bcl Industries Limited,BCLIND.NS,Beverages - Wineries & Distilleries,Consumer Defensive,7.263819,,,0.998239,74.479,,,0.03995,8533171712.0,60.221000000000004,19.012415,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
ARIHANTCAP,Arihant Capital Markets Limited,ARIHANTCAP.NS,Capital Markets,Financial Services,21.355114,,,1.8824973,51.095,,,0.21153,8239563776.0,72.789,19.719402,,,fair_vs_industry,5,PE acceptable; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
BAJAJINDEF,Indef Manufacturing Limited,BAJAJINDEF.NS,Farm & Heavy Construction Machinery,Industrials,30.195961,,,3.1502843,1.565,,,0.13983,8136000000.0,79.266,27.0061245,,,fair_vs_industry,5,PE acceptable; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
AMBIKCO,Ambika Cotton Mills Limited,AMBIKCO.NS,Textile Manufacturing,Consumer Cyclical,12.755009,11.263472,,0.8566918,,,,0.08958,8027606016.0,51.629000000000005,16.26372,,,undervalued_vs_industry,5,PE favorable; Forward PE improving; High insider/promoter proxy,Watchlist
GTPL,GTPL Hathway Limited,GTPL.NS,Entertainment,Communication Services,19.260162,6.0331073,,0.6936704,29.458,,,0.01124,7992748032.0,78.101,19.0199115,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
ANUHPHR,Anuh Pharma Limited,ANUHPHR.NS,Drug Manufacturers - Specialty & Generic,Healthcare,17.940191,,,2.297558,0.07,,,0.05448,7547312640.0,72.028,27.370273500000003,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
GANESHCP,Ganesh Consumer Products Limited,GANESHCP.NS,Packaged Foods,Consumer Defensive,12.988596,,,1.8103697,52.589,,,0.043,7364450816.0,69.702005,30.943987,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
DHAMPURSUG,Dhampur Sugar Mills Limited,DHAMPURSUG.NS,Confectioners,Consumer Defensive,10.801905,,,0.645602,44.818,,,0.03265,7293643776.0,51.690000000000005,15.731418999999999,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
ADSL,Allied Digital Services Limited,ADSL.NS,Information Technology Services,Technology,21.88772,10.143089,,1.2249988,17.707,,,0.03521,7050702848.0,55.586999999999996,23.156301499999998,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
BHAGERIA,Bhageria Industries Limited,BHAGERIA.NS,Specialty Chemicals,Basic Materials,13.715531,,,1.1946764,12.876,,,0.06362,6880216064.0,81.477,24.245389000000003,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
ELIN,Elin Electronics Limited,ELIN.NS,Electrical Equipment & Parts,Industrials,16.24105,,,1.1980635,2.771,,,0.031719998,6767667712.0,51.817,24.875765,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
AVADHSUGAR,Avadh Sugar & Energy Limited,AVADHSUGAR.NS,Confectioners,Consumer Defensive,8.842062,,,0.6107406,56.04,,,0.02716,6488970752.0,71.621,15.731418999999999,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
HINDCOMPOS,Hindustan Composites Limited,HINDCOMPOS.NS,Auto Parts,Consumer Cyclical,21.598017,,,0.5644259,0.307,,,0.0709,6427468800.0,81.759,31.902037999999997,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
BESTAGRO,Best Agrolife Limited,BESTAGRO.NS,Agricultural Inputs,Basic Materials,9.430851,,,0.7771203,53.825,,,0.01761,6330735616.0,62.974,16.505262,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
20MICRONS,20 Microns Limited,20MICRONS.NS,Other Industrial Metals & Mining,Basic Materials,9.784346,,,1.3888694,35.637,,,0.07001,6327302144.0,56.194,11.54154,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
CSLFINANCE,CSL Finance Limited,CSLFINANCE.NS,Credit Services,Financial Services,7.008043,,,1.025802,137.222,,,0.35037,5878227968.0,67.087,20.951680500000002,,,undervalued_vs_industry,5,PE favorable; Healthy margins; High insider/promoter proxy,Watchlist
GLOBAL,Global Education Limited,GLOBAL.NS,Education & Training Services,Consumer Defensive,24.1535,,,4.4200263,0.131,0.19736,0.13289,0.26150998,5446460416.0,,21.552824,,,fair_vs_industry,5,PE acceptable; High ROE; Healthy margins; Manageable debt,Watchlist
APTECHT,Aptech Limited,APTECHT.NS,Education & Training Services,Consumer Defensive,20.206522,17.117865,,2.2730608,5.75,,,0.052210003,5411087360.0,52.955,21.552824,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
DONEAR,Donear Industries Limited,DONEAR.NS,Textile Manufacturing,Consumer Cyclical,14.383667,31.325502,,1.9020742,155.524,0.14061,0.06152,0.03593,4854199808.0,76.768994,16.26372,,,undervalued_vs_industry,5,PE favorable; Decent ROE; High insider/promoter proxy,Watchlist
GLOTTIS,Glottis Limited,GLOTTIS.NS,Integrated Freight & Logistics,Industrials,8.248764,,,2.0377681,25.397,,,0.04593,4626618368.0,77.128,25.947369,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
FOODSIN,Foods & Inns Limited,FOODSIN.NS,Packaged Foods,Consumer Defensive,14.617022,8.355406,,0.95346045,88.516,,,0.03235,4562672640.0,50.131,30.943987,,,undervalued_vs_industry,5,PE favorable; Forward PE improving; High insider/promoter proxy,Watchlist
DREAMFOLKS,Dreamfolks Services Limited,DREAMFOLKS.NS,Airports & Air Services,Industrials,11.475806,4.9012628,,1.3630921,3.056,,,0.042930003,4548180992.0,65.717006,11.475806,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
ARIES,Aries Agro Limited,ARIES.NS,Agricultural Inputs,Basic Materials,11.7941675,,,1.3983852,20.67,,,0.06337,4470891520.0,55.125,16.505262,,,undervalued_vs_industry,5,PE favorable; Manageable debt; High insider/promoter proxy,Watchlist
BIRLACABLE,Birla Cable Limited,BIRLACABLE.NS,Communication Equipment,Technology,55.25397,15.574945,,1.5329231,41.628,,,0.010629999,4177200128.0,68.728995,55.25397,,,fair_vs_industry,5,PE acceptable; Forward PE improving; Manageable debt; High insider/promoter proxy,Watchlist
